bill_id,bill_type,bill_number,congress,title,status
hr2736-110,hr,2736,110,HIV Emergency Local Partnership Act of 2007,in_committee
hr5063-110,hr,5063,110,To extend the temporary suspension of duty on Acephate.,in_committee
hr2091-110,hr,2091,110,To amend the Internal Revenue Code of 1986 to allow bonds guaranteed by the Federal home loan banks to be treated as tax exempt bonds.,in_committee
hr5749-110,hr,5749,110,Emergency Extended Unemployment Compensation Act of 2008,out_of_committee
hr1047-110,hr,1047,110,"To authorize the Secretary of the Interior to conduct a study to determine the suitability and feasibility of designating the Soldiers' Memorial Military Museum located in St. Louis, Missouri, as a unit of the National Park System.",out_of_committee
hr1017-110,hr,1017,110,Protecting Children's Health in Schools Act of 2007,in_committee
hr5060-110,hr,5060,110,To amend the Immigration and Nationality Act to allow athletes admitted as nonimmigrants described in section 101(a)(15)(P) of such Act to renew their period of authorized admission in 5-year increments.,out_of_committee
hr3416-110,hr,3416,110,America's Energy Security Trust Fund Act of 2007,in_committee
hr4711-110,hr,4711,110,To extend and modify the temporary suspension of duty on Fludioxinil Technical.,in_committee
hr7005-110,hr,7005,110,Alternative Minimum Tax Relief Act of 2008,out_of_committee
hr5604-110,hr,5604,110,Medicare Part D Home and Community Services Copayment Equity Act of 2008,in_committee
s1991-107,s,1991,107,National Defense Rail Act,out_of_committee
s1220-107,s,1220,107,Railroad Track Modernization Act of 2002,out_of_committee
hr1588-108,hr,1588,108,National Defense Authorization Act for Fiscal Year 2004,passed
hr2828-108,hr,2828,108,"Water Supply, Reliability, and Environmental Improvement Act",passed
hr2765-108,hr,2765,108,"District of Columbia Appropriations Act, 2004",out_of_committee
s1262-108,s,1262,108,Maritime Administration Authorization Act of 2003,out_of_committee
s1461-108,s,1461,108,Border Security and Immigration Improvement Act,in_committee
s1513-108,s,1513,108,Employee Right to Choose Act,in_committee
s2290-108,s,2290,108,FAIR Act of 2004,out_of_committee
hres84-109,hres,84,109,"Providing that the Department of Commerce and the International Trade Commission should, in conducting 5-year sunset reviews of antidumping or countervailing duties on steel products, take into account, and report on, the impact of such duties on steel-consuming manufacturers and the overall economy.",in_committee
hr620-109,hr,620,109,Security Measures Feasibility Act,in_committee
hr2989-109,hr,2989,109,Teacher Tax Relief Act of 2005,in_committee
hr4538-109,hr,4538,109,Spent Nuclear Fuel On-Site Storage Security Act of 2005,in_committee
