committee_id,bill_id
HSRU,hres980-110
HSJU,hres979-110
HSRU,hres473-110
HSRU,hres1507-110
HSHM,hres1150-110
HSRU,hres28-110
HSBU,hres28-110
HSPW,hres652-110
HSJU,hres652-110
HSBA,hres1010-110
HSAP,hjres20-110
HSJU,hjres9-110
HSJU,hjres57-110
HSIF,hjres86-110
HSJU,hjres22-110
HSJU,hjres41-110
HSJU,hjres45-110
HSJU,hjres11-110
HSED,hjres62-110
SLIA,hjres62-110
HSAP,hjres52-110
HSBU,hjres52-110
SSHR,sconres54-110
HSGO,sconres54-110
SSFR,sconres13-110
SSFR,sres30-110
SSJU,sres225-110
SSJU,sres84-110
SSFR,sres300-110
SSJU,sres710-110
HSHA,hconres12-110
HSIF,hconres393-110
SSHR,hconres393-110
HSIF,hr2651-110
HSBA,hr2651-110
HSII,hr6709-110
HSIF,hr6709-110
HSWM,hr6709-110
HSSY,hr6709-110
HSED,hr6709-110
HSBU,hr6709-110
HSRU,hr6709-110
HSJU,hr1525-110
SSJU,hr1525-110
HSJU,hr1022-110
HSWM,hr5200-110
HSJU,hr1119-110
HSWM,hr7067-110
HSED,hr1644-110
HSHM,hr4179-110
SSCM,hr4179-110
HSWM,hr5553-110
HSWM,hr2075-110
HSWM,hr4347-110
HSIF,hr5852-110
HSWM,hr5852-110
HSFA,hr5852-110
HSED,hr3257-110
HSIF,hr635-110
HSJU,hr5634-110
HSGO,hr984-110
HSIF,hr4296-110
HSWM,hr4296-110
HSJU,hr4109-110
HSII,hr1180-110
HSWM,hr1987-110
HSPW,hr2421-110
HSED,hr6220-110
HSWM,hr4554-110
HSED,hr6281-110
HSWM,hr910-110
HSIF,hr3442-110
HSWM,hr2607-110
HSIF,hr5445-110
HSWM,hr5445-110
HSWM,hr3920-110
HSED,hr3920-110
HSIF,hr3920-110
SSFI,hr3920-110
HSJU,hr5994-110
HSWM,hr5162-110
HSII,hr6537-110
HSPW,hr720-110
SSEV,hr720-110
HSFA,hr1456-110
HSJU,hr1456-110
HSBA,hr698-110
SSBK,hr698-110
HSJU,hr7033-110
HSWM,hr4722-110
HSIF,hr4990-110
HSIF,hr3893-110
HSIF,hr3800-110
HSWM,hr1850-110
HSBA,hr1850-110
HSGO,hr5517-110
SSGA,hr5517-110
HSWM,hr2578-110
HSIF,hr620-110
HSSY,hr620-110
HSII,hr620-110
HSIF,hr6044-110
HSWM,hr164-110
HSJU,hr2242-110
HSED,hr2864-110
HSAG,hr6341-110
HSIF,hr45-110
HSAG,hr45-110
HSWM,hr45-110
HSII,hr4933-110
SSEV,hr4933-110
HSJU,hr3013-110
SSJU,hr3013-110
HSAG,hr5762-110
HSII,hr5151-110
HSAG,hr5151-110
SSEG,hr5151-110
HSIF,hr4848-110
HSWM,hr4848-110
HSED,hr4848-110
SSFI,hr4848-110
HSWM,hr5188-110
HSII,hr6899-110
HSIF,hr6899-110
HSWM,hr6899-110
HSGO,hr6899-110
HSJU,hr6899-110
HSBA,hr6899-110
HSPW,hr6899-110
HSBU,hr6899-110
HSRU,hr6899-110
HSSY,hr6899-110
HSFA,hr6899-110
HSII,hr1267-110
HSFA,hr5485-110
HSED,hr5447-110
HSJU,hr3509-110
HSBA,hr1967-110
HSIF,hr2994-110
SSHR,hr2994-110
HSJU,hr688-110
HSWM,hr5144-110
HSJU,hr1908-110
HSIF,hr3024-110
HSJU,hr1650-110
HSPW,hr1650-110
HSIF,hr1650-110
HSII,hr495-110
SSEG,hr495-110
HSIF,hr6433-110
HSBA,hr5280-110
HSIF,hr7181-110
HSWM,hr7181-110
HSJU,hr977-110
HSIF,hr6151-110
HSIF,hr6619-110
HSWM,hr6619-110
HSII,hr3981-110
HSWM,hr6896-110
HSBA,hr1851-110
SSBK,hr1851-110
HSIF,hr4-110
HSWM,hr4-110
SSFI,hr4-110
HSHM,hr5983-110
SSGA,hr5983-110
HSGO,hr404-110
SSGA,hr404-110
HSIF,hr6884-110
HSIF,hr1952-110
HSWM,hr1952-110
HSII,hr1970-110
HSJU,hr989-110
HSIF,hr989-110
HSIF,hr3232-110
HSJU,hr3232-110
HSHM,hr3232-110
HSII,hr1191-110
SSEG,hr1191-110
HSBA,hr3525-110
HSWM,hr4348-110
HSWM,hr3088-110
HSED,hr1317-110
HSIF,hr1317-110
HSWM,hr4997-110
HLIG,hr5959-110
HSWM,hr4921-110
HSJU,hr5570-110
SSJU,hr5570-110
HSJU,hr6059-110
HSED,hr3441-110
HSWM,hr6873-110
HSSY,hr3221-110
HSIF,hr3221-110
HSED,hr3221-110
HSFA,hr3221-110
HSSM,hr3221-110
HSAG,hr3221-110
HSGO,hr3221-110
HSII,hr3221-110
HSPW,hr3221-110
HSAS,hr3221-110
HSPW,hr6984-110
HSWM,hr6984-110
HSED,hr1409-110
HSJU,hr5889-110
HSWM,hr5184-110
HSFA,hr1302-110
SSFR,hr1302-110
HSWM,hr4351-110
SSFI,hr4351-110
HSED,hr1994-110
HSBA,hr1994-110
HSVR,hr2546-110
SSVA,hr2546-110
HSPW,hr2881-110
HSWM,hr4896-110
HSII,hr162-110
HSWM,hr5080-110
HSWM,hr2608-110
SSFI,hr2608-110
HSWM,hr5125-110
HSIF,hr5125-110
HSGO,hr2124-110
HSJU,hr1592-110
SSJU,hr1592-110
HSED,hr4048-110
HSWM,hr4538-110
HSPW,hr4158-110
HSIF,hr2917-110
HSIF,hr370-110
HSWM,hr370-110
HSSY,hr370-110
HSAS,hr370-110
HSIF,hr7192-110
HSJU,hr7192-110
HSED,hr7192-110
HSWM,hr7192-110
HSWM,hr5083-110
HSPW,hr2728-110
SSEV,hr2728-110
HSBA,hr4241-110
HSIF,hr936-110
HSED,hr2808-110
HSGO,hr2808-110
HSHA,hr2808-110
HSSY,hr1453-110
HSED,hr866-110
HSED,hr472-110
HSIF,hr1076-110
HSWM,hr1076-110
HSED,hr1076-110
HSBA,hr4776-110
HSPW,hr1195-110
SSEV,hr1195-110
HSBA,hr2871-110
HSIF,hr5533-110
HSWM,hr782-110
HSBA,hr782-110
HSFA,hr782-110
HSAS,hr782-110
HSHM,hr64-110
HSHM,hr3916-110
HSSY,hr3916-110
HSWM,hr3046-110
HSED,hr3846-110
HSJU,hr3846-110
HSWM,hr4431-110
HSWM,hr5304-110
HSIF,hr5437-110
HSSY,hr5437-110
HSGO,hr5437-110
HSAS,hr5437-110
HSAG,hr5437-110
HSII,hr5437-110
HSWM,hr5437-110
HSWM,hr4796-110
HSJU,hr1943-110
SSJU,hr1943-110
HSIF,hr3281-110
HSWM,hr834-110
HSIF,hr3162-110
HSWM,hr3162-110
HSJU,hr1295-110
HSAP,hr7323-110
HSSY,hr4174-110
HSBA,hr3126-110
HSWM,hr3456-110
HSVR,hr6732-110
HSWM,hr6708-110
HSSY,hr1867-110
HSIF,hr3001-110
HSWM,hr3001-110
HSRU,hr3001-110
HSHM,hr2593-110
HSII,hr2593-110
HSAG,hr2593-110
HSII,hr5058-110
HSWM,hr7098-110
HSWM,hr1421-110
HSFA,hr2965-110
HSWM,hr4715-110
HSII,hr6256-110
HSSY,hr6256-110
HSIF,hr6256-110
HSED,hr6256-110
HSJU,hr3922-110
HSED,hr3922-110
HSIF,hr2556-110
HSSY,hr2556-110
HSPW,hr2556-110
HSGO,hr2556-110
HSBA,hr2556-110
HSIF,hr4167-110
HSWM,hr5399-110
HSED,hr1224-110
HSIF,hr1224-110
HSWM,hr4799-110
HSWM,hr2116-110
HSII,hr3352-110
SSEG,hr3352-110
HSJU,hr6304-110
HLIG,hr6304-110
HSAG,hr2301-110
HSWM,hr4555-110
HSIF,hr1108-110
SSHR,hr1108-110
HSII,hr1187-110
SSCM,hr1187-110
HSWM,hr7327-110
HSED,hr7327-110
HSHA,hr811-110
HSVR,hr1214-110
HSBA,hr2942-110
HSFA,hr2942-110
HSGO,hr1260-110
SSGA,hr1260-110
HSII,hr1301-110
HSWM,hr6049-110
HSGO,hr5712-110
SSGA,hr5712-110
HSED,hr1369-110
HSGO,hr1369-110
HSHA,hr1369-110
HSWM,hr4729-110
HSAG,hr17-110
HSII,hr17-110
HSED,hr493-110
HSIF,hr493-110
HSWM,hr493-110
HSWM,hr4560-110
HSSY,hr5940-110
SSCM,hr5940-110
HSJU,hr11-110
HLIG,hr11-110
HSFA,hr7311-110
HSIF,hr7311-110
HSJU,hr7311-110
HSAG,hr2088-110
HSWM,hr2380-110
HSIF,hr2042-110
HSIF,hr1148-110
HSAG,hr1148-110
HSGO,hr4236-110
HSWM,hr4870-110
HSIF,hr3116-110
HSWM,hr7074-110
HSWM,hr4723-110
HSED,hr1338-110
SSHR,hr1338-110
HSBA,hr644-110
SSBK,hr644-110
HSWM,hr4567-110
HSGO,hr915-110
HSPW,hr6052-110
HSGO,hr6052-110
SSBK,hr6052-110
HSII,hr830-110
SSEG,hr830-110
HSED,hr1363-110
HSIF,hr5846-110
HSWM,hr4730-110
HSGO,hr1256-110
HSWM,hr4718-110
HSIF,hr3435-110
HSWM,hr3435-110
HSSY,hr3435-110
HSII,hr3435-110
HSAS,hr3435-110
HSFA,hr3435-110
HLIG,hr3435-110
HSPW,hr3401-110
HSBA,hr3401-110
HSWM,hr1261-110
HSWM,hr3056-110
SSFI,hr3056-110
HSIF,hr6228-110
HSHA,hr6704-110
HSED,hr6704-110
HSED,hr1486-110
HSWM,hr3765-110
HSWM,hr7100-110
HSJU,hr1843-110
HSWM,hr6382-110
HSED,hr6382-110
SSHR,hr6382-110
HSPW,hr6999-110
HSWM,hr5054-110
HSWM,hr4674-110
HSJU,hr1645-110
HSHM,hr1645-110
HSII,hr1497-110
HSWM,hr4728-110
HSGO,hr4012-106
HSIF,hr4-107
HSSY,hr4-107
HSWM,hr4-107
HSII,hr4-107
HSED,hr4-107
HSPW,hr4-107
HSBU,hr4-107
HSBA,hr4-107
HSWM,hr1076-107
HSED,hr1076-107
SSCM,s1991-107
SSHR,s1070-107
HSED,hr3108-108
HSWM,hr3108-108
SSFI,hr3108-108
HSAS,hr1588-108
HSJU,hr1588-108
SSCM,s1262-108
SSJU,s1461-108
SSFI,s1637-108
SSFI,s774-108
SSJU,sres448-109
HSIF,hr84-109
HSWM,hr3117-109
HSAP,hr5576-109
SSAP,hr5576-109
HSWM,hr37-109
HSED,hr741-109
HSED,hr2830-109
HSWM,hr2830-109
HSIF,hr526-109
HSSY,hr526-109
HSWM,hr526-109
HSWM,hr2622-109
HSII,hr2673-109
HSWM,hr4297-109
HSED,hr1816-109
HSHA,hr1316-109
HSHM,hr4954-109
HSPW,hr4954-109
HSBA,hr458-109
SSBK,hr458-109
HSAP,hr2744-109
SSAP,hr2744-109
HSIF,hr3937-109
HSJU,hr3937-109
HSWM,hr4040-109
SSFI,s595-109
SSHR,s406-109
SSJU,s1033-109
SSAF,s135-109
SSHR,s3678-109
SSEV,s3698-109
SSHR,s842-109
SSJU,s1427-109
SSBK,s190-109
SSEG,s2290-109
SSRA,s271-109
SSEG,s3962-109
HSRU,hres1488-110
HSFA,hres627-110
HSWM,hres587-110
HSED,hres762-110
HSFA,hres620-110
HSFA,hres356-110
HSIF,hres524-110
HSIF,hres353-110
HSRU,hres1213-110
HSED,hconres405-110
SSJU,hconres405-110
HSFA,hconres104-110
HSBU,hconres99-110
HSGO,hconres215-110
SSHR,hconres215-110
HSED,hconres112-110
SSHR,hconres112-110
HSFA,hconres199-110
HSBU,hconres312-110
HSIF,hconres85-110
HSJU,hconres244-110
HSIF,hr6725-110
HSWM,hr6725-110
HSWM,hr2639-110
HSIF,hr2639-110
HSWM,hr4552-110
HSBA,hr1682-110
HSWM,hr4713-110
HSII,hr222-110
HSAG,hr6533-110
HSWM,hr1762-110
HSWM,hr4800-110
HSIF,hr5353-110
HSWM,hr4803-110
HSAP,hr3222-110
SSAP,hr3222-110
HSFA,hr5927-110
HSSY,hr2153-110
HSJU,hr7173-110
HSAP,hr2638-110
HSWM,hr5149-110
HSED,hr2517-110
SSJU,hr2517-110
HSWM,hr2945-110
HSIF,hr2945-110
HSIF,hr2820-110
HSED,hr2820-110
